Position,Artist,Song Title,Genre
1,Pharrell Williams,Happy,Pop
2,Katy Perry feat. Juicy J,Dark Horse,Pop
3,John Legend,All Of Me,R&B
4,Iggy Azalea feat. Charli XCX,Fancy,Hip Hop 
5,OneRepublic,Counting Stars,Pop
6,Jason Derulo feat. 2 Chainz,Talk Dirty,R&B
7,MAGIC!,Rude,Pop
8,Meghan Trainor,All About That Bass,Pop
9,Ariana Grande feat. Iggy Azalea,Problem,Pop
10,Sam Smith,Stay With Me,Soul
11,Pitbull feat. Ke$ha,Timber,Electronic
12,Bastille,Pompeii,Rock
13,Taylor Swift,Shake It Off,Pop
14,Nico and Vinz,Am I Wrong,Pop
15,DJ Snake and Lil Jon,Turn Down For What,Electronic
16,Eminem feat. Rihanna,The Monster,Hip Hop
17,A Great Big World and Christina Aguilera,Say Something,Pop
18,Lorde,Team,Pop
19,Passenger,Let Her Go,Rock
20,Lorde,Royals,Pop
21,Idina Menzel,Let It Go,Show tune
22,Avicii,Wake Me Up!,Electronic
23,Imagine Dragons,Demons,Rock
24,One Direction,Story Of My Life,Pop
25,Sia,Chandelier,Pop
26,Iggy Azalea feat. Rita Ora,Black Widow,Hip Hop
27,"Jessie J, Ariana Grande & Nicki Minaj",Bang Bang,Pop
28,Disclosure feat. Sam Smith,Latch,Electronic
29,Maroon 5,Maps,Rock
,Maroon 5,Maps,Pop Rock
30,Chris Brown feat. Lil Wayne and French Montana or Too $hort or Tyga,Loyal,Hip Hop
31,American Authors,Best Day Of My Life,Rock
32,Tove Lo,Habits (Stay High),Electronic
33,Calvin Harris,Summer,Pop
34,Charli XCX,Boom Clap,Pop
35,Beyonce feat. Jay Z,Drunk In Love,R&B
36,Nicki Minaj,Anaconda,Hip Hop
37,Ariana Grande feat. Zedd,Break Free,Pop
38,Enrique Iglesias feat. Descemer Bueno and Gente De Zona,Bailando,Latin Pop
39,Ellie Goulding,Burn,Electronic
40,Jason Derulo feat. Snoop Dogg,Wiggle,Pop
41,Clean Bandit feat. Jess Glynne,Rather Be,Pop
42,Jeremih feat. Yg,Don't Tell 'Em,R&B
43,Kid Ink feat. Chris Brown,Show Me,Hip-Hop
44,Miley Cyrus,Wrecking Ball,Pop
45,Justin Timberlake,Not A Bad Thing,R&B
46,Katy Perry,Roar,Pop
47,Paramore,Ain't It Fun,Rock
48,Aloe Blacc,The Man,R&B
49,Florida Georgia Line feat. Luke Bryan,This Is How We Roll,Hip-Hop
50,Mkto,Classic,Pop
51,Coldplay,A Sky Full Of Stars,Rock
52,Ed Sheeran,Don't,R&B
53,Trey Songz,Na Na,R&B
54,Bobby Shmurda,Hot Boy,Hip-Hop
55,Drake feat. Majid Jordan,"Hold On, We're Going Home",R&B
56,Ed Sheeran,Sing,R&B
57,Imagine Dragons,Radioactive,Alternative
58,Yg feat. Jeezy and Rich Homie Quan,My Hitta,Hip-Hop
59,Echosmith,Cool Kids,Pop
60,Avicii,Hey Brother,Pop
61,Jason Derulo,Trumpets,Pop
62,Maroon 5,Animals,Pop
63,Jason Aldean,Burnin' It Down,Country
64,Luke Bryan,Play It Again,Country
65,Tinashe feat. Schoolboy Q,2 On,R&B
66,Florida Georgia Line,Dirt,Country
67,OneRepublic,Love Runs Out,Rock
68,Brantley Gilbert,Bottoms Up,Rock
69,Becky G,Shower,Pop
70,Rixton,Me And My Broken Heart,Pop
71,Martin Garrix,Animals,Electronic Dance
72,Rich Gang feat. Young Thug and Rich Homie Quan,Lifestyle,Hip-Hop
73,Kenny Chesney,American Kids,Country
74,Sara Bareilles,Brave,Pop
75,The Neighbourhood,Sweater Weather,Rock
76,Sam Hunt,Leave The Night On,Country
77,Chris Brown feat. Usher and Rick Ross,New Flame,R&B
78,Michael Jackson and Justin Timberlake,Love Never Felt So Good,Soul
79,Dierks Bentley,Drunk On A Plane,Country
80,Katy Perry,Birthday,Pop
81,Lady Antebellum,Bartender,Pop
82,Naughty Boy feat. Sam Smith,La La La,R&B
83,Robin Thicke feat. T.I. and Pharrell,Blurred Lines,Pop
84,Lady Gaga feat. R. Kelly,Do What U Want,R&B
85,Shakira feat. Rihanna,Can't Remember To Forget You,Pop
86,5 Seconds Of Summer,Amnesia,Rock
87,T.I. feat. Iggy Azalea,No Mediocre,Hip-Hop
88,Kongos,Come With Me Now,Alternative
89,Lil Wayne feat. Drake,Believe Me,Hip-Hop
90,"Mike Will Made-It feat. Miley Cyrus, Wiz Khalifa and Juicy J",23,Hip-Hop
91,Jake Owen,Beachin',Country
92,Macklemore & Ryan Lewis feat. Schoolboy Q and Hollis,White Walls,Hip-Hop
93,5 Seconds Of Summer,She Looks So Perfect,Rock
94,Zedd feat. Hayley Williams,Stay The Night,Electronic Dance
95,Beyonce,Partition,Pop
96,Schoolboy Q feat. BJ The Chicago Kid,Studio,Hip-Hop
97,Drake,0 To 100 / The Catch Up,Hip-Hop
98,Lee Brice,I Don't Dance,Country
99,Miranda Lambert and Carrie Underwood,Somethin' Bad,Country
100,Miley Cyrus,Adore You,Electronic Dance
